GM,Hour
JULACC,0
AUGACC,0
SEPACC,0
OCTACC,0
NOVACC,0
DECACC,0
JANACE,0
FEBACE,0
MARACE,0
APRACE,100
MAYACE,100
JUNACE,100
JULACE,100
AUGACE,100
SEPACE,100
OCTACE,100
NOVACE,0
DECACE,0
JANACH,200
FEBACH,200
MARACH,200
APRACH,200
MAYACH,200
JUNACH,200
JULACH,200
AUGACH,200
SEPACH,200
OCTACH,200
NOVACH,200
DECACH,200
JANACI,0
FEBACI,0
MARACI,0
APRACI,0
MAYACI,100
JUNACI,100
JULACI,100
AUGACI,100
SEPACI,100
OCTACI,100
NOVACI,0
DECACI,0
JANACK,-400
FEBACK,-500
MARACK,-500
APRACK,-500
MAYACK,-400
JUNACK,-400
JULACK,-400
AUGACK,-400
SEPACK,-400
OCTACK,-400
NOVACK,-400
DECACK,-400
JANACP,330
FEBACP,330
MARACP,330
APRACP,330
MAYACP,330
JUNACP,330
JULACP,330
AUGACP,330
SEPACP,330
OCTACP,330
NOVACP,330
DECACP,330
JANACR,-500
FEBACR,-500
MARACR,-500
APRACR,-500
MAYACR,-500
JUNACR,-500
JULACR,-500
AUGACR,-500
SEPACR,-500
OCTACR,-500
NOVACR,-500
DECACR,-500
JANACT,-600
FEBACT,-600
MARACT,-500
APRACT,-500
MAYACT,-500
JUNACT,-500
JULACT,-500
AUGACT,-500
SEPACT,-500
OCTACT,-500
NOVACT,-600
DECACT,-600
JANACU,-500
FEBACU,-500
MARACU,-500
APRACU,-500
MAYACU,-500
JUNACU,-500
JULACU,-500
AUGACU,-500
SEPACU,-500
OCTACU,-500
NOVACU,-500
DECACU,-500
JANACV,-800
FEBACV,-800
MARACV,-700
APRACV,-700
MAYACV,-700
JUNACV,-700
JULACV,-700
AUGACV,-700
SEPACV,-700
OCTACV,-700
NOVACV,-800
DECACV,-800
JANACX,800
FEBACX,800
MARACX,800
APRACX,800
MAYACX,800
JUNACX,800
JULACX,800
AUGACX,800
SEPACX,800
OCTACX,800
NOVACX,800
DECACX,800
JANACY,-500
FEBACY,-500
MARACY,-400
APRACY,-400
MAYACY,-400
JUNACY,-400
JULACY,-400
AUGACY,-400
SEPACY,-400
OCTACY,-400
NOVACY,-500
DECACY,-500
JANACZ,430
FEBACZ,430
MARACZ,430
APRACZ,430
MAYACZ,430
JUNACZ,430
JULACZ,430
AUGACZ,430
SEPACZ,430
OCTACZ,430
NOVACZ,430
DECACZ,430
JANADA,200
FEBADA,200
MARADA,200
APRADA,300
MAYADA,300
JUNADA,300
JULADA,300
AUGADA,300
SEPADA,300
OCTADA,300
NOVADA,200
DECADA,200
JANADB,200
FEBADB,200
MARADB,200
APRADB,300
MAYADB,300
JUNADB,300
JULADB,300
AUGADB,300
SEPADB,300
OCTADB,300
NOVADB,200
DECADB,200
JANADC,1000
FEBADC,1000
MARADC,1000
APRADC,1000
MAYADC,1000
JUNADC,1000
JULADC,1000
AUGADC,1000
SEPADC,1000
OCTADC,1000
NOVADC,1000
DECADC,1000
JANADD,300
FEBADD,300
MARADD,300
APRADD,300
MAYADD,300
JUNADD,300
JULADD,300
AUGADD,300
SEPADD,300
OCTADD,300
NOVADD,300
DECADD,300
JANADE,300
FEBADE,300
MARADE,300
APRADE,300
MAYADE,300
JUNADE,300
JULADE,300
AUGADE,300
SEPADE,300
OCTADE,300
NOVADE,300
DECADE,300
JANADF,200
FEBADF,200
MARADF,200
APRADF,300
MAYADF,300
JUNADF,300
JULADF,300
AUGADF,300
SEPADF,300
OCTADF,300
NOVADF,200
DECADF,200
JANADH,900
FEBADH,900
MARADH,900
APRADH,900
MAYADH,900
JUNADH,900
JULADH,900
AUGADH,900
SEPADH,900
OCTADH,900
NOVADH,900
DECADH,900
JANADJ,200
FEBADJ,200
MARADJ,200
APRADJ,200
MAYADJ,200
JUNADJ,200
JULADJ,200
AUGADJ,200
SEPADJ,200
OCTADJ,200
NOVADJ,200
DECADJ,200
JANADK,-1000
FEBADK,-1000
MARADK,-900
APRADK,-900
MAYADK,-900
JUNADK,-900
JULADK,-900
AUGADK,-900
SEPADK,-900
OCTADK,-900
NOVADK,-1000
DECADK,-1000
JANADL,1030
FEBADL,1030
MARADL,1030
APRADL,930
MAYADL,930
JUNADL,930
JULADL,930
AUGADL,930
SEPADL,930
OCTADL,1030
NOVADL,1030
DECADL,1030
JANADQ,-900
FEBADQ,-900
MARADQ,-800
APRADQ,-800
MAYADQ,-800
JUNADQ,-800
JULADQ,-800
AUGADQ,-800
SEPADQ,-800
OCTADQ,-800
NOVADQ,-900
DECADQ,-900
JANADS,-600
FEBADS,-600
MARADS,-600
APRADS,-600
MAYADS,-600
JUNADS,-600
JULADS,-600
AUGADS,-600
SEPADS,-600
OCTADS,-600
NOVADS,-600
DECADS,-600
JANADU,330
FEBADU,330
MARADU,330
APRADU,330
MAYADU,430
JUNADU,430
JULADU,430
AUGADU,430
SEPADU,430
OCTADU,330
NOVADU,330
DECADU,330
JANADZ,-500
FEBADZ,-500
MARADZ,-500
APRADZ,-500
MAYADZ,-500
JUNADZ,-500
JULADZ,-500
AUGADZ,-500
SEPADZ,-500
OCTADZ,-500
NOVADZ,-500
DECADZ,-500
JANAEB,800
FEBAEB,800
MARAEB,800
APRAEB,800
MAYAEB,800
JUNAEB,800
JULAEB,800
AUGAEB,800
SEPAEB,800
OCTAEB,800
NOVAEB,800
DECAEB,800
JANAED,-900
FEBAED,-900
MARAED,-900
APRAED,-800
MAYAED,-800
JUNAED,-800
JULAED,-800
AUGAED,-800
SEPAED,-800
OCTAED,-800
NOVAED,-900
DECAED,-900
JANAEG,700
FEBAEG,700
MARAEG,700
APRAEG,700
MAYAEG,700
JUNAEG,700
JULAEG,700
AUGAEG,700
SEPAEG,700
OCTAEG,700
NOVAEG,700
DECAEG,700
APRAEH,100
JANAEI,200
FEBAEI,200
MARAEI,100
APRAEI,100
MAYAEI,100
JUNAEI,100
JULAEI,100
AUGAEI,200
SEPAEI,200
OCTAEI,200
NOVAEI,200
DECAEI,200
JANAEP,-300
FEBAEP,-300
MARAEP,-300
APRAEP,-300
MAYAEP,-300
JUNAEP,-300
JULAEP,-300
AUGAEP,-300
SEPAEP,-300
OCTAEP,-300
NOVAEP,-300
DECAEP,-300
JANAER,300
FEBAER,300
MARAER,300
APRAER,300
MAYAER,300
JUNAER,300
JULAER,300
AUGAER,300
SEPAER,300
OCTAER,300
NOVAER,300
DECAER,300
JANAES,100
FEBAES,100
MARAES,100
APRAES,200
MAYAES,200
JUNAES,200
